scenario,state,buy_share,avg_delta,count
HighHOA,CO,0.01083942525838165,91331.2735011676,181
HighHOA,CT,0.04481696886760178,79464.33869409065,105
HighHOA,DC,0.009581442259203227,124473.02762068553,22
HighHOA,DE,0.2169811320754717,27721.052570262,23
HighHOA,FL,0.2081119065395933,37604.24022442549,671
HighHOA,GA,0.2257624302836122,36928.38377062955,242
HighHOA,HI,0.0,169055.67499123173,30
HighHOA,IA,0.0598159509202454,33863.29041531361,60
HighHOA,ID,0.0,88256.4759336676,44
HighHOA,IL,0.221790252228333,27007.342071568448,251
HighHOA,IN,0.312248322147651,17321.05084372584,158
HighHOA,KS,0.22515584891822515,32411.895717774212,75
HighHOA,KY,0.16532007458048478,27865.020153071076,85
HighHOA,LA,0.17032509030286191,31171.252238774057,97
HighHOA,MA,0.008262424466642002,137727.34359401345,178
HighHOA,MD,0.19347637355822894,50663.59939500755,152
HighHOA,ME,0.0,73403.36663972984,28
HighHOA,MI,0.38681246939774766,17401.26169945633,207
HighHOA,MN,0.05481567265006755,49811.17579916173,139
HighHOA,MO,0.27358761112704333,23652.509247978483,158
HighHOA,MS,0.2747952684258417,11470.157851039037,40
HighHOA,MT,0.0,117768.13443514681,27
HighHOA,NC,0.13518184550646228,50695.39526864169,230
HighHOA,ND,0.0,56336.80268193192,17
HighHOA,NE,0.10226283724978243,38423.33506388324,56
HighHOA,NH,0.0,79935.79215268539,30
HighHOA,NJ,0.06220984215413185,88640.90580993883,229
HighHOA,NM,0.016597510373443983,43874.315000920345,38
HighHOA,NV,0.022064832470716427,55753.97510319035,86
HighHOA,NY,0.057651600049806996,175361.13472209495,363
HighHOA,OH,0.30381715926767977,23781.433036467144,259
HighHOA,OK,0.32838895756077463,13705.963724146583,101
HighHOA,OR,0.0,107437.8996732356,122
HighHOA,PA,0.2522767815228617,33384.49842766333,309
HighHOA,RI,0.04925650557620818,73176.44313293982,33
HighHOA,SC,0.17480501865038997,43106.86599649218,119
HighHOA,SD,0.0,55991.742136568646,17
HighHOA,TN,0.15288982938764714,55552.723485547176,146
HighHOA,TX,0.18685542398777694,47073.30785158142,708
HighHOA,UT,0.0,120412.44288807093,77
HighHOA,VA,0.03013769810340348,76423.75497872042,206
HighHOA,VT,0.0,61248.402132407085,9
HighHOA,WA,0.0017215568862275449,146694.20387984833,221
HighHOA,WI,0.10086563793752353,49031.91927490748,117
HighHOA,WV,0.13010204081632654,17058.810272357656,27
HighHOA,WY,0.0,63945.025327129144,18
HighIns,AK,0.0,55065.76565467028,20
HighIns,AL,0.2931127982646421,27988.458706889498,119
